tweetText,tweetId,createdAt,screenName,image,followers,favorite,retweetcount,longitude,latitude
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511946021384257538,Wed Sep 17 00:03:37 IST 2014,PawanKalyanFC_,http://pbs.twimg.com/profile_images/506360318545514497/Lv9IWFDV_bigger.jpeg,481,50,10,0.0,0.0
@thepawanist @PawanKalyanFan 1st aa power antha PowerStar de..Aftr Chair lo kurchunnaka PawanKalyan ani..And Gabbarsingh 345.. :),511945930833416193,Wed Sep 17 00:03:16 IST 2014,PawanKalyanFC_,http://pbs.twimg.com/profile_images/506360318545514497/Lv9IWFDV_bigger.jpeg,481,50,0,0.0,0.0
RT @SRTrendulkar: PawanKalyan is greater than #Chiru annavallaki following suitableSame like pakkintodi father is better than your father …,511945353940443136,Wed Sep 17 00:00:58 IST 2014,Hanu_MegaPower,http://pbs.twimg.com/profile_images/511032946040373248/XVm4dNUW_bigger.jpeg,473,948,13,0.0,0.0
RT @PawanKalyanFan: "Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu"  - #Megastar #Chiranjeevi at #GAV a…,511944912410271745,Tue Sep 16 23:59:13 IST 2014,imTeja97,http://pbs.twimg.com/profile_images/508686526943731712/EHr-9bbd_bigger.jpeg,8,93,6,0.0,0.0
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511944190264360960,Tue Sep 16 23:56:21 IST 2014,MyLifeAkshay,http://pbs.twimg.com/profile_images/509288211512700928/x4VzECcI_bigger.jpeg,372,555,10,0.0,0.0
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511943805717979138,Tue Sep 16 23:54:49 IST 2014,manikick,http://pbs.twimg.com/profile_images/1454925130/RT-2_bigger.gif,1245,4136,10,0.0,0.0
#PawanKalyan naa devudu ayya naa amma  naana tarwata naa boss "PawanKalyan" - @ganeshbandla at #GAV audio launch,511943767138783232,Tue Sep 16 23:54:40 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,0,0.0,0.0
RT @PawanKalyanFan: #PawanKalyan's #AttarintikiDaredi won 6 awards @ #SIIMA2014 @Samanthaprabhu2Best movie#Trivikram @ThisIsDSP  cinema…,511940361422647296,Tue Sep 16 23:41:08 IST 2014,megafamily009,http://pbs.twimg.com/profile_images/466992881886957569/hcgiA_B0_bigger.jpeg,164,24,2,0.0,0.0
Haha "@PawanKalyanFan: "Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu" #Chiranjeevi at #GAV audio .",511939958945619968,Tue Sep 16 23:39:32 IST 2014,MsDhonie,http://pbs.twimg.com/profile_images/510858377455349760/JXgJtuvG_bigger.jpeg,1091,9801,0,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511939664773926913,Tue Sep 16 23:38:22 IST 2014,baluIkkada,http://pbs.twimg.com/profile_images/1731847376/gabbarsingh1_-_Copy_bigger.jpg,65,12921,214,0.0,0.0
