"","analysis_score","analysis_text"
"167",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"168",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"169",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"170",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"171",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"172",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"173",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"174",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"175",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"176",0,"Superstar @urstrulyMahesh @14reelsofficial #1Nenokkadine http://t.co/YRzjhbGJz1"
"177",0,"Maheshâs absences felt!: #MaheshBabu Maheshâs absences felt for this Sankranthi! http://t.co/KZISKadRS5 http://t.co/ABbdcZmKba"
"178",0,"#SuperStar_MaheshBabu in Military Army Look! http://t.co/2Lf8omu7SN"
"179",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦"
"180",3,"RT @POETICandFUNNY: #Maheshbabu  performs so well that you forget about the logic and just enjoy his magnificent performance .Watching #1neâ¦"
"181",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"182",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"183",2,"@MaheshBabu_FC good morning to all Indian fans of Mahesh babu"
"184",0,"RT @Being_Prem_: #EkKaDum Whattttt!!!!!! a movie. HOLLYWOOD ko kick dena wali film.. Plz #MaheshBabu do bollwood movie"
"185",0,"RT @Being_Prem_: #EkKaDum Whattttt!!!!!! a movie. HOLLYWOOD ko kick dena wali film.. Plz #MaheshBabu do bollwood movie"
"186",0,"RT @Being_Prem_: #EkKaDum Whattttt!!!!!! a movie. HOLLYWOOD ko kick dena wali film.. Plz #MaheshBabu do bollwood movie"
"187",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"188",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"189",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
"190",1,"RT @Keisar_: Weekend well spent is when you get to watch a Hindi dubbed Telugu movie starring Maheshbabu."
