"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"14","Assaloddhu Baboi http://t.co/ncWdqmigIw",FALSE,0,NA,2014-09-12 09:26:16,FALSE,NA,"510358723919740928",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Raj_Pspkf",0,FALSE,FALSE,NA,NA
"15","RT @UrsSamyuktha: PowerStar References in POWER Movie.Ì†ΩÌ±âÌ†ΩÌ±â Piracy Leak aina AtharintikiDaredhi Super Hit #PawanKalyan Valle --- @ihansika di‚Ä¶",FALSE,0,NA,2014-09-12 09:15:40,FALSE,NA,"510356057239998464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","niranthreddy",12,TRUE,FALSE,NA,NA
"16","Edaina chinna cinema peru chepara ante vadu ekanga Pawankalyan cinema peru chepadu",FALSE,0,NA,2014-09-12 09:06:18,FALSE,NA,"510353697923014656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","LocalPowerstar",0,FALSE,FALSE,NA,NA
"17","RT @Rajareddy_Pk: Ippudu chepandra abbailu....!!
Same to same...! @Raghava4mahesh 
@tharun48 @PawanKalyan_IN @meevaasu @harishveera http://‚Ä¶",FALSE,0,NA,2014-09-12 08:31:20,FALSE,NA,"510344898558836736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ram_aduri",1,TRUE,FALSE,NA,NA
"18","Ippudu chepandra abbailu....!!
Same to same...! @Raghava4mahesh 
@tharun48 @PawanKalyan_IN @meevaasu @harishveera http://t.co/jwGl3BLAkd",FALSE,0,NA,2014-09-12 08:30:14,FALSE,NA,"510344622301007872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajareddy_Pk",1,FALSE,FALSE,NA,NA
"19","http://t.co/V5fUVcRww4",FALSE,0,NA,2014-09-12 08:18:47,FALSE,NA,"510341739824291840",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Raj_Pspkf",0,FALSE,FALSE,NA,NA
"20","#AD cinema sagam leak aina release ayyi Charitra thiraga rasindi.
@ihansika ihansika : Aa Power antha PowerStar PawanKalyan dhi
#Power",FALSE,0,NA,2014-09-12 08:16:06,FALSE,NA,"510341067141427200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bhanu4pawan",0,FALSE,FALSE,NA,NA
"21","RT @Rajareddy_Pk: Same to same....!!
GS lo #shruthi 
Aagadu(GS2) lo #Thamanna..
@tharun48 @PawanKalyan_IN @Raghava4mahesh http://t.co/NPdCK‚Ä¶",FALSE,0,NA,2014-09-12 08:11:44,FALSE,NA,"510339967919587328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ram_aduri",1,TRUE,FALSE,NA,NA
"22","Same to same....!!
GS lo #shruthi 
Aagadu(GS2) lo #Thamanna..
@tharun48 @PawanKalyan_IN @Raghava4mahesh http://t.co/NPdCKFWsKe",FALSE,0,NA,2014-09-12 08:10:31,FALSE,NA,"510339659021709312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajareddy_Pk",1,FALSE,FALSE,NA,NA
"23","RT @cvamsideep: Pawankalyan's Team at "" CHINAGANJAM "".. http://t.co/Rcb1tCnZJ4",FALSE,0,NA,2014-09-12 07:46:55,FALSE,NA,"510333722756132865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kablik3",15,TRUE,FALSE,NA,NA
"24","That is #PawanKalyan !! #Respect !!!!

Read: http://t.co/6gg3g9AA9x",FALSE,2,NA,2014-09-12 07:36:10,FALSE,NA,"510331017497153536",NA,"<a href=""http://www.twitlonger.com"" rel=""nofollow"">Twitlonger</a>","VyasKalyan",1,FALSE,FALSE,NA,NA
"25","RT @mahi2you: After longtime @ihansika entrance in #Power as Nirupama ji with Pawankalyan #Attarintikidaredi Record awesome Ì†ΩÌ∏çÌ†ΩÌ∏é",FALSE,0,NA,2014-09-12 07:29:38,FALSE,NA,"510329372037758976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Iam_Suryaa",1,TRUE,FALSE,NA,NA
