"","ti","age","id","au","ve","nC","nP","nR","at","msg"
"35",2014-10-27 12:55:48,6.9618981007183,"z12qynaadsizgzw5l04cdftz4vjby3eqolc0k","107169274681249130632","post",0,0,0,"article","#PawanKalyan to watch &#39;#Kaththi&#39; in a special screening﻿"
"36",2014-10-27 12:55:39,6.96199982811179,"z12nc3nwxrqgyvew004cdftz4vjby3eqolc0k","107169274681249130632","post",0,0,0,"article","#PawanKalyan to watch &#39;#Kaththi&#39; in a special screening﻿"
"37",2014-10-27 12:53:29,6.96350273588189,"z13uwr0hcwn5sn5fq22eyjtavtzkupp4e04","107169274681249130632","post",0,0,0,"article","#PawanKalyan to watch &#39;#Kaththi&#39; in a special screening﻿"
"38",2014-10-27 10:25:34,7.06622629547285,"z13tstzr5xe2i3tek23zifuo2kbaunb1v","110751382568495051971","post",0,0,0,"photo","First #MaheshBabu&#39;s film now #Pawankalyan&#39;s for Actress TrishaInfo --&gt; http://www.indiaglitz.com/First-Mahesh-Babus-Film-And-Now-Pawan-Kalyans-For-Trisha-telugu-news-117248﻿"
"39",2014-10-27 07:11:55,7.20070706427373,"z13bdjr5ovyyzpgkc23zifuo2kbaunb1v","110751382568495051971","post",0,0,0,"photo","Not Remaking #Pawankalyan&#39;s &#39;Attarintiki Daredi&#39; Movie : Shah Rukh KhanInfo --&gt; http://www.indiaglitz.com/Not-Remaking-attarintiki-Daredi-:-Shah-Rukh-Khan-telugu-news-117231﻿"
"40",2014-10-27 06:12:02,7.24229383391639,"z12ejb0yhwa0j1h0j22iyxzhssfzehzwo04","103202536926537687683","post",2,4,0,"photo","Dil Raju: Powerstar is Number OneRead Here:http://goo.gl/txlgTC #pawankalyan   #dilraju   #gopalagopala   #saidharamtej  ﻿"
"41",2014-10-27 05:52:21,7.25596318107236,"z12lsb4p5yi0x1zim04cirrbou2zjbwzklo0k","109877100101054999176","post",0,3,0,"photo","#PawanKalyan to direct ‘#GabbarSingh 2’?To view more @ http://goo.gl/aT9bn7﻿"
"42",2014-10-27 05:23:30,7.27599519674149,"z13txdmyemjuzvh5y04cftuaytrwzbrq35w","101518794221977544454","post",0,1,0,"photo","TOLLYWOOD - NEWS‘Gabbar Singh2’ to be directed by Pawan Kalyan?Powerstar Pawan Kalyan is getting ready to don the director’s hat for action-entertainer ‘Gabbar Singh 2’.#ytalkieslive  #tollywood #latestupdates #pawankalyan #gabbarsingh2 #sampathnandi #gabbarsingh #sharathmararfor more www.ytalkies.com﻿"
"43",2014-10-26 13:17:11,7.94704737161321,"z12ve11yqvjbzxdbo04cdhc4ywfoc1hhe1c","111458109557212674308","share",0,1,0,"article","#Pawankalyan to undergo surgery for his back pain soon!﻿"
"44",2014-10-26 13:16:57,7.94721417240522,"z12ct5yzftz1xjn0f22fe1br2x20ffeke","111458109557212674308","share",0,1,0,"article","#PawanKalyan donated Rs.50 Lakhs to #Hudhud victims!﻿"
"45",2014-10-26 10:57:11,8.04427278116897,"z13zirdyhn3uxp1yy04cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","#PawanKalyan lead in Kaththi telugu remake ? @ http://goo.gl/rPW9f7﻿"
"46",2014-10-26 06:40:26,8.22257457863953,"z133ulhxurqve1hg404cgrsy2tmpefeif5c","101718756811529152460","post",1,9,1,"video","+Ram Charan  clarifies about #PawanKalyan absence #PillaNuvvuLeniJeevitham Audio Launch.#DilRaju #PillaNuvvuLeniJeevitham #ReginaCassandra #Chiranjeevi #RamCharan #AlluArjun #NagaBabu #Tollywood   #TollywoodNews   #pillanuvvulenijeevitham  #Sunday #weekend﻿"
"47",2014-10-26 06:39:11,8.22343760090846,"z13uwdj44kjoz3gp404cgrsy2tmpefeif5c","101718756811529152460","post",1,10,0,"video","#PawanKalyan is the first person to Encourage #SaiDharamTej Says #AlluArjun#DilRaju #PillaNuvvuLeniJeevitham #ReginaCassandra #Chiranjeevi #RamCharan  #NagaBabu﻿"
"48",2014-10-26 04:33:23,8.31080292767673,"z13fhlmjxni3wdz4004chh0rvnmbgf5gamc0k","114572052899474501383","post",0,1,0,"photo","Bhuma Nagi reddy expressed his thanks to #Pawankalyan for  his involvement in selecting Allagadda candidacy﻿"
"49",2014-10-25 18:04:42,8.74738465047545,"z12bvblh3vfycpq5p04cgrsy2tmpefeif5c","101718756811529152460","post",0,0,0,"video","#Megafamily is My Heart &amp; Soul, says #SaiDharamTej#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates﻿"
"50",2014-10-25 18:01:21,8.74971456455136,"z135wlo50uipxzmil04cgrsy2tmpefeif5c","101718756811529152460","post",0,2,1,"video","#PokuriBabuRao talks about #MegaStar #Chiranjeevi.#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates﻿"
"51",2014-10-25 17:57:27,8.75242405191064,"z13bip4iwn3aypc3c235ybkqgpemunmte","101718756811529152460","post",0,2,0,"video"," #JagapathiBabu   about #PillaNuvvuLeniJeevitham team#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates﻿"
"52",2014-10-25 17:51:58,8.75622329121111,"z12huzvx5uzbcdkff235ybkqgpemunmte","101718756811529152460","post",0,1,0,"video","#PillaNuvuLeniJeevitham Title is Suggested by #DeviSriPrasad, says #Harshith #SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates ﻿"
"53",2014-10-25 17:09:03,8.78603159460481,"z13osphhfrmuhnsbn04chh0rvnmbgf5gamc0k","114572052899474501383","post",0,0,0,"article","Wearables/Stickers/etc. of #PawanKalyan : Images - Page 2 http://www.pawankalyanfans.com/post9245.html#p9245﻿"
"54",2014-10-25 16:43:17,8.80392785359864,"z13kglryjnq4hdquk235ybkqgpemunmte","101718756811529152460","post",0,6,1,"video","Watch the action trailer of #PillaNuvuLeniJeevitham#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates ﻿"
"55",2014-10-25 16:42:26,8.80451749166681,"z12nx3upszufiprgw04cgrsy2tmpefeif5c","101718756811529152460","post",0,4,0,"video","Watch #PillaNuvvuLeniJeevitham Theatrical Trailer.#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates ﻿"
"56",2014-10-25 14:03:18,8.91502337833798,"z12ygx0ybmzlidltg235ybkqgpemunmte","101718756811529152460","post",0,4,1,"video","Watch #PillaNuvvuLeniJeevitham movie audio launch LIVE here!#SaiDharamTej #DilRaju #BunnyVaasu #ReginaCassandra #Alluarjun #JagapathiBabu #PawanKalyan  #RamCharan   #Tollywood   #TollywoodNews   #TollywoodUpdates  ﻿"
"57",2014-10-25 13:28:30,8.93918883709444,"z13dcpfziljaszokg23zifuo2kbaunb1v","110751382568495051971","post",0,0,0,"photo","Rumours About #Megastar #Chiranjeevi and #PawanKalyan ツInfo --&gt; http://www.indiaglitz.com/Rumours-About-Chiranjeevi-And-Pawan-Kalyan-telugu-news-117172﻿"
"58",2014-10-25 10:54:00,9.04648757793009,"z12lhjpa2qauuzloq04cirrbou2zjbwzklo0k","109877100101054999176","post",0,1,0,"photo","#PawanKalyan to skip the audio launch of ‘#PNJ’?Read Here :::&gt;&gt;&gt;&gt; http://goo.gl/rVZf6K﻿"
"59",2014-10-25 10:52:21,9.04762538859414,"z12pwzkjzpv1xnzm323pxtxakrvtzbw4h04","109877100101054999176","post",0,0,0,"photo","‘#Kaththi’ remake with #PawanKalyan and #VVVinayak in Telugu?Check Out ::: http://goo.gl/ZZdluh﻿"
"60",2014-10-25 10:15:50,9.07298334565979,"z12ozfp53wqvjjpnm23ohvhjjxb5jvtl1","114383802290756629100","post",0,0,0,"photo","#PawanKalyan to direct &#39;Gabbar Singh 2&#39;? @  http://ow.ly/Dk0dO﻿"
"61",2014-10-25 10:10:12,9.07689558519809,"z13bhxfhkxfxvjimt235ybkqgpemunmte","101718756811529152460","post",0,6,1,"video","#PawanKalyan Daughter #AadhyaKonidala Unseen Photos#Pavankalyan #PK #PSPK #Janasena #UnseenPhotos #Tollywood #RenduDesai #AkiraNandan #IshqWalaLove  #TollywoodNews   #TollywoodUpdates   #Caturday   #Saturday   #Weekend  ﻿"
"62",2014-10-25 05:37:51,9.26603015285675,"z12bwveoevrmipkjo04cftuaytrwzbrq35w","101518794221977544454","post",0,0,0,"photo","KOLLYWOOD/TOLLYWOOD - NEWSPawan Kalyan keen to hit the jackpot for “Kaththi’s” remake?The true efforts of actor Vijay and Director A .R. Murugadoss in their recent movie, “Kaththi” has bought a positive talk in the Tollywood.#ytalkieslive #kollywood #tollywood #latestupdates #kaththimovie #vijay #pawankalyan #armurugadoss #vvvinayakfor more www.ytalkies.com﻿"
"63",2014-10-24 16:56:14,9.79493167640434,"z12xjrxbikzuuvzsc22eyjtavtzkupp4e04","107169274681249130632","post",0,0,0,"article","#PawanKalyan in Telugu &#39;#Kaththi&#39;?﻿"
"64",2014-10-24 16:56:00,9.79509873310173,"z13hzj1ykzbzglgcc22eyjtavtzkupp4e04","107169274681249130632","post",0,0,0,"article","#PawanKalyan in Telugu &#39;#Kaththi&#39;?﻿"
"65",2014-10-24 16:55:41,9.7953138733876,"z133gjhguzjoexca304cdftz4vjby3eqolc0k","107169274681249130632","post",0,0,0,"article","#PawanKalyan in Telugu &#39;#Kaththi&#39;?﻿"
"66",2014-10-24 13:24:59,9.94163118690804,"z13pz3pxwyeqxf2rj04cdftz4vjby3eqolc0k","107169274681249130632","post",0,0,0,"article","#PawanKalyan in Telugu &#39;#Kaththi&#39;?﻿"
"67",2014-10-24 13:02:40,9.95712705701038,"z13vgb54hxrrxda2q23yvlebwty4vv50z","100240887854964061021","post",0,0,0,"article","#Samantha Crossed #PawanKalyan&#39;s Record on Very First Day - #Chitramala﻿"
"68",2014-10-23 08:43:04,11.1374125315553,"z13wcrhzdkb0ifdcp22yilrqhzbtxxktj","101518794221977544454","post",0,0,0,"photo","Tollywood - NewsSampath Nandi is ready to direct Ravi TejaSampath Nandi, young director who shot to fame directing Mega Power Star Ram Charan in Rachcha, is going to direct Ravi Teja if all goes well. According to the latest is the Rachcha director had formal meeting with Mass Maharaja who is on a success run with Balupu and Power. A source says &quot;Few meetings happened between the actor and director and have finalized entertainment driven plot, so its almost done with&quot;.#ytalkieslive #tollywoodnews #sampathnandi #raviteja #massmaharaja #power #balupu #rachcha #gabbarsingh2 #ramcharan #pawankalyan﻿"
"69",2014-10-22 17:48:32,11.7586180125977,"z134v5x4tlurerifk235ydwbkx2hilxev","106164458301506685349","post",0,0,0,NA,"#PawanKalyan pledges ₹50 lakh donation to CM Relief fund for cyclone #HudHud victims﻿"
"70",2014-10-22 05:42:37,12.2627269109173,"z13ddrgrhtnaybimy22owfybxrjqzlgkv","115166280984003068106","share",0,0,0,"video"," #PowerStar   #PawanKalyan  is my first Choice says, +Rakul Preet  in a recent Interview.#PavanKalyan  #PSPK   #RakulPreet﻿"
"71",2014-10-22 05:07:21,12.2872194081876,"z132w1dbowm5gtiiw04chh0rvnmbgf5gamc0k","114572052899474501383","post",0,0,0,"photo","#PawanKalyan Trending in Hyderabad.﻿"
"72",2014-10-21 13:14:12,12.9491239857922,"z12sgr4xfynjjxtjf04cgrsy2tmpefeif5c","101718756811529152460","post",0,23,2,"video"," #PowerStar   #PawanKalyan  is my first Choice says, +Rakul Preet  in a recent Interview.#PavanKalyan  #PSPK   #RakulPreet﻿"
"73",2014-10-21 11:05:45,13.0383198167328,"z13ucjqpkrbvd1doc04ch1ty1p2otbaykeg","109023382916211402629","post",0,0,0,"article","Attarintiki Daredi Full Length Telugu MovieWatch Full Movie @ http://bit.ly/1FvSVMiTags :: #PawanKalyan #Samantha #PranithaSubash﻿"
"74",2014-10-20 16:10:59,13.8263565089333,"z130ergjewrth32h304chh0rvnmbgf5gamc0k","114572052899474501383","post",0,2,0,"album","Janasena Malikipuram Youth donating food and sugar for Hudhud cyclone releif :)#PawanKalyan ﻿"
"75",2014-10-20 15:22:33,13.859989865345,"z135zjxzkkrxf5zw504cjvozklzahhgbwbk","108777183195758531844","post",0,0,0,"article","#GabbarSingh2 Cast: #RakulPreetSingh to Romance #PawanKalyan ? - http://shar.es/1mDf51#Tollywood#Bollywood﻿"
"76",2014-10-20 15:22:22,13.8601232113027,"z12tx5jzwuqrvbusg22dg1yhotzzwblxe04","105055946590334314882","post",0,0,0,"article","#GabbarSingh2 Cast: #RakulPreetSingh to Romance #PawanKalyan ? - http://shar.es/1mDf51#Tollywood#Bollywood﻿"
"77",2014-10-20 15:22:20,13.8601442041441,"z13hzffo3ryrs1f2e23cy3mrnyyazva0n","101991716444145727929","post",0,0,0,"article","#GabbarSingh2 Cast: #RakulPreetSingh to Romance #PawanKalyan ? - http://shar.es/1mDf51#Tollywood#Bollywood﻿"
"78",2014-10-20 15:22:18,13.8601665703621,"z12mw32okmm4czva504cinbqkmfechczzng0k","118025870945891925424","post",0,0,0,"article","#GabbarSingh2 Cast: #RakulPreetSingh to Romance #PawanKalyan ? - http://shar.es/1mDf51#Tollywood#Bollywood﻿"
"79",2014-10-20 15:22:15,13.8601983285723,"z12py3iotobtttddy23xy1yztqnjydijv04","106016548847072221192","post",0,0,0,"article","#GabbarSingh2 Cast: #RakulPreetSingh to Romance #PawanKalyan ? - http://shar.es/1mDf51#Tollywood#Bollywood﻿"
"80",2014-10-20 15:18:05,13.8630981786301,"z13hjhcprxuozzzs423yxbw4jtnff1z1w","108777183195758531844","post",0,0,0,"article","‘Gabbar Singh 2′ Cast: Rakul Preet Singh to Romance Pawan Kalyan.   #GabbarSingh2 Cast: #RakulPreetSingh to Romance #PawanKalyan ? – http://shar.es/1mDf51   #Tollywood #Bollywood﻿"
