"","analysis_score","analysis_text"
"79",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"80",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"81",-1,"RT @AapCrookAk49: Wonder how can Kejriwal solve Delhi's problem with Arab funding.Whats the interest of Arabs and Muslim Nations in #AAP #Wâ¦"
"82",0,"RT @madhukishwar: Surprised Kiran Bedi not fighting from Kejriwal's constituency.Shows lack of confidence in taking him on tho BJP recruiteâ¦"
"83",0,"BREAKING: Kejriwal unnecessarily trolling Bedi.
This strengthen my belief that he lacks abilities to be a genuine leader for the capital."
"84",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"85",0,"RT @DrunkVinodMehta: #KiranBedi says, ""Kejriwal is debating, Iam delivering to people"". 
How she delivered even before she became CM?  Crazâ¦"
"86",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"87",-1,"RT @Satyaake: SHAZIA ILMI on the newshour debate:
1. Arvind Kejriwal is a goon.
2. Amit Shah is a messiah. 
And,
3. Sun revolves around earâ¦"
"88",0,"RT @KhurafatiChopra: Mad scramble among TV newschannels to moderate Kejriwal-Bedi debate. God, how much I love Twitter and Delhi elections!â¦"
"89",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"90",1,"RT @Amitjanhit: Arvind kejriwal takes blessing from his mother this morning bfore leaving 4 filing his nomination
#WalkWithKejriwal http://â¦"
"91",0,"RT @kanikagahlaut: Now that Ajay Makhen has accepted Arvind Kejriwal's challenge to debate, I think Kiran Bedi will also come round to it. â¦"
"92",0,"RT @madhukishwar: Surprised Kiran Bedi not fighting from Kejriwal's constituency.Shows lack of confidence in taking him on tho BJP recruiteâ¦"
"93",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"94",-1,"RT @obscurehamlet: Ajay Maken from Congress, Arvind Kejriwal from AAP agree for an open public debate on Delhi issues. Kiran Bedi from BJP â¦"
"95",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"96",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"97",0,"RT @AamAadmiParty: Blog by @RaisinaSeries on debate between @ArvindKejriwal and @thekiranbedi!

Read at: http://t.co/EHavW0jFRV"
"98",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal"
"99",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"100",0,"RT @vivekagnihotri: OMG facts: Kejriwal's muffler is inversely proportional to the votes he gets."
"101",0,"@doctoratlarge appreciate the dare of kejriwal who is taking on big wigs,unlike u who is afraid to address his real ID @anubhavtripathi"
"102",0,"RT @ANI_news: . @ajaymaken ji should be invited to the debate too: Arvind Kejriwal"
"103",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"104",2,"RT @JhaSanjay: Above the noise of trumpet blowers( Kiran Bedi &amp; Arvind Kejriwal) comes the silent roar of a true winner. Delhi, vote a goodâ¦"
"105",-1,"RT @BDUTT: Flood of feedback to this interview with @ArvindKejriwal -Watch if you missed: ""Delhi, you answer, Am I a Naxal?"" http://t.co/FIâ¦"
"106",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦"
