"","ti","age","id","au","ve","nC","nP","nR","at","msg"
"17",2014-09-15 23:34:51,0.563005178540393,"z12vcpaw1qndszsxl04cdvezyr32unmpbyw0k","111735423090506624812","post",0,0,0,"article","Renu Desai hits back at criticism on social platformRenu Desai, the actor turned filmmaker who is busy with the promotions of her Marathi film Ishq Wala Love, has taken to social media to respond to those who accused her of taking support of her ex-husband Pawan Kalyan’s name to become famous.   Renu, on her...﻿"
"18",2014-09-15 20:22:47,0.696387496466438,"z12cynkhstf3jbic4222y3n5jvewxfl1n","109406617435823552465","post",0,0,0,"photo","iam the follwer of power star pawan kalyan﻿"
"19",2014-09-15 17:02:28,0.83549023134013,"z13ugxiyfyuwwpc5c04ci1cjfzyxgdxxxbc","107479855628112708494","post",0,0,0,"article","Renu Desai’s Counter to CriticsAmidst growing criticism that she has been “using” her ex-husband Pawan Kalyan’s name for publicity, actress-turned-director Renu Desai has finally responded. Hitting back at her critics, Renu made it clear that she hardly took “support” of anyone for her d...﻿"
"20",2014-09-15 16:06:04,0.874658472008175,"z125eddysqnvh1wel23jtnqafyaufzzl0","114255629043044096727","post",0,2,0,"photo","Wishing all the best to Cherry and #GAV team.﻿"
"21",2014-09-15 12:01:27,1.04453537740641,"z13ygrjqbmfszzztq234y1gjcrjtuh2yn04","108409018318042381487","post",0,0,0,"photo","Pawan’s lady admonishes fans! http://goo.gl/RcXCHpAlthough ‪#‎PawanKalyan‬ and #Renu Desai have split in their marital life, this happened amicably and these days ‪#‎RenuDesai‬ mentioned him often during the publicity of her first Marathi film as producer, which has become a good hit.#Teluguone  ﻿"
"22",2014-09-15 11:58:33,1.04655167520322,"z13yjz2gstfzu3vwy04cfbn4klmvz3pb3iw","104459053270574073620","post",0,0,0,"photo","Pawan’s lady admonishes fans! http://goo.gl/RcXCHpAlthough ‪#‎PawanKalyan‬ and #Renu Desai have split in their marital life, this happened amicably and these days ‪#‎RenuDesai‬ mentioned him often during the publicity of her first Marathi film as producer, which has become a good hit. #Teluguone  ﻿"
"23",2014-09-15 11:23:32,1.07087103276617,"z13cvx3jonrswhg0u22jut5atvvyvhogr04","115048134797917675003","share",0,2,0,"photo","Pawan Kalyan’s help for producers? http://goo.gl/ZzHrzjPower star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But after elections, he has been very much silent on political front. #Teluguone   #Janasena  ﻿"
"24",2014-09-15 10:47:54,1.0956140320279,"z13rip1zsqncx5wmw22fixzimob5jjram04","100415523786813731551","post",0,0,0,"photo","Model first, Pawan&#39;s wife later: Renu Desai http://goo.gl/dAZgEWRenu Desai.. ..The name needs no introduction. Ex-wife of Power star Pawan Kalyan. One of the latest trending topics of social media is that she is using her ex-husband’s name for the movie promotion. Recently she turned into a producer in Marathi film industry.﻿"
"25",2014-09-15 10:32:15,1.10648352534683,"z13eitq5nlz1etkdl234y1gjcrjtuh2yn04","108409018318042381487","share",0,1,1,"photo","Pawan Kalyan’s help for producers? http://goo.gl/ZzHrzjPower star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But after elections, he has been very much silent on political front. #Teluguone   #Janasena  ﻿"
"26",2014-09-15 10:05:52,1.12479960808599,"z13oxtkzvvvwzphpp04cfbn4klmvz3pb3iw","104459053270574073620","post",0,2,2,"photo","Pawan Kalyan’s help for producers? http://goo.gl/ZzHrzjPower star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But after elections, he has been very much silent on political front. #Teluguone   #Janasena  ﻿"
"27",2014-09-15 09:41:05,1.14201813951411,"z13adzgjbum2wfz3e22yilrqhzbtxxktj","101518794221977544454","post",0,0,0,"photo","TOLLYWOOD : NEWSRenu Desai hits back at Critics :Actress-turned-Filmmaker Renu Desai came down heavily on her critics who have been accusing her of using Pawan Kalyan&#39;s popularity for her directorial debut &#39;Ishq Wala Love&#39; and also to become famous.Responding to the criticism, Renu Desai gave a fitting reply, &quot;This is for the extra smart people who think I am using Pawan Kalyan&#39;s name to get famous. I produced a hit film last year without any help or support from anyone, for which Kalyan garu is very proud of me. I have also been a famous model &amp; actress before. So please rest your over active brains and use that same energy for some social work... Have a happy fun filled Sunday everyone…&quot;.There is nothing wrong in Renu Desai mentioning her ex-husband Pawan Kalyan&#39;s name whenever she wishes to speak about him and critics needn&#39;t be too harsh in such matters. After all, they were very close once and maintain a cordial relationship even post break-up.#ytalkies #tollywood #updates #renudesai #pawanalyan Renu Desai Renu Desai Pawan Kalyan ツ﻿"
"28",2014-09-15 08:02:51,1.21022639447892,"z123v5owvxzzs5kom04cedfr1mzmz13r2hg","109059731143575757976","post",0,0,0,"article","Will He Accept Pawan Remake?Pawan Kalyan’s industry hit ‘aththarintiki daaredi’ is a human and family emotions based film from director Trivikram Srinivas, produced by BVSN Prasad. The film has universally connecting sentiment and this one seems to have pulled BVSN Prasad’s son Bapine...﻿"
"29",2014-09-15 07:59:22,1.21264842079469,"z12qi3lpvqy2z30rv04cctmqzublurbo4ms0k","102059973023662952188","post",0,0,0,"article","Pawan Kalyan the man of all seasons, Pawan Kalyan has not yet completed the alloted number of days for Gopala Gopala, Even Ravi Teja using Pawan Kalyan to the maximum. Pawan Kalyan references in Ravi Teja’s power? Ravi Teja’s Power hit theatres this…﻿"
"30",2014-09-15 07:26:08,1.23573012283831,"z120uz55aomzcnpvc22jtxtjfwn3h1ij104","110473224141472555467","post",0,0,0,"article","Pawan Kalyan ex-wife hits back at criticismRead More :: http://ow.ly/BuTfs﻿"
"31",2014-09-15 07:07:27,1.24870296333123,"z120yplptkyddxdii04cixqqsnqaux1yfk40k","106521474236072389952","post",0,0,0,"article","Ram Charan Govindudu Andarivadele Audio Songs DownloadMega power star ram Charan Govindudu Andarivadele songs coming to listeners ears today. This is the prestigious project done by power star pawan kalyan power full fan Bandla Ganesh as a producer for this multi-starrer film under the parameswara arts product...﻿"
"32",2014-09-15 05:56:47,1.29777931059676,"z13ce50qpnziznxjs04ch5xzanywf1vw310","102516414598406365782","post",0,0,0,"article","Pawan Kalyan’s help for producers?Pawan Kalyan’s help for producers? Power star Pawan Kalyan made an impressive political entry and he also set up a party by name Jana Sena. But .... read more  see more﻿"
"33",2014-09-15 04:58:58,1.33792285857101,"z13gjz5ylrzsgz20522axnmx5z2ri5jyq04","106445976025155391098","post",0,0,0,"article","Pawan Kalyan Heroine lost her Passport﻿"
"34",2014-09-15 04:58:47,1.33805807483141,"z124ubo4mujvdpdci23jtnqafyaufzzl0","114255629043044096727","post",0,2,1,"video","#PawanismMovie latest Trailer https://vimeo.com/106144383 #PawanKalyan﻿"
"35",2014-09-15 04:34:07,1.35518528169504,"z12rthugltbcdrzxd04cftuaytrwzbrq35w","101518794221977544454","post",0,0,0,"photo","TOLLYWOOD : UPDATE Loukyam will be as big as AD : Gopichand Power Star Pawan Kalyan’s ‘Atharintiki Daaredhi’ set the Box Office on fire last year and ended up as the highest grossing Telugu Movie of all time. The movie crossed the 80 Cr share mark worldwide!Now Gopichand says that his ‘Loukyam’ will end up as a similar blockbuster success. The actor made these comments at the audio function of the movie, which was held in Vijayawada yesterday. Those who were present were a bit taken aback by these words.Srivas is the director of ‘Loukyam’ and Bhavya Creations banner is producing the movie. Anoop Rubens composed the music for the film.#ytalkies #tollywood #pawankalyan #loukyam #anooprubens #Gopichand #bhavyaLoukyam Gopichand Anoop Rubens Rakul Preet Pawan Kalyan ツ Atharintiki Dharedhi﻿"
"36",2014-09-15 04:24:55,1.36157287387108,"z12tjjp5rtaov1uiv04chzaistjsvdjzy40","114255629043044096727","post",0,3,1,"photo","#PawanismMovie is releasing on 26th of this month.﻿"
"37",2014-09-14 20:30:49,1.69081424019679,"z130u15alobczb0ab04ccbw4cra2htuxjw40k","100568953157371193820","share",0,0,0,"article","PAWAN&#39;S SON IN DUBBING THEATER                                   POWER STAR PAWAN KALYAN&#39;SSON AKIRA NANDAN IS MAKING HIS FILM DEBUT AS A CHILDARTIST IN &#39;ISHQ WALA LOVE&#39;, DIRECTED ANDPRODUCED BY HER MOTHER, RENU DESAI . SHE POSTEDTHE ABOVE PIC IN HER TWITTER AND REVEALED THAT AKIRA W...﻿"
"38",2014-09-14 20:17:14,1.7002421222434,"z134wzr40tnlsnrmj225wx1wimbbdrsnn","115118538038484907424","post",0,1,1,"article","PAWAN&#39;S SON IN DUBBING THEATER                                   POWER STAR PAWAN KALYAN&#39;SSON AKIRA NANDAN IS MAKING HIS FILM DEBUT AS A CHILDARTIST IN &#39;ISHQ WALA LOVE&#39;, DIRECTED ANDPRODUCED BY HER MOTHER, RENU DESAI . SHE POSTEDTHE ABOVE PIC IN HER TWITTER AND REVEALED THAT AKIRA W...﻿"
"39",2014-09-14 20:10:19,1.70504672957515,"z13acf1w2mzpudrum23rjlfagp3xzhhr304","116865962724318233853","post",0,0,0,"photo","Hai friends we r all sport pawankalyan﻿"
"40",2014-09-14 18:26:57,1.77683439130033,"z130t5wago3jchiks221z125tkniirfz104","100568953157371193820","share",0,0,0,"article","PAWAN KALYAN&#39;S SCREEN TIME INCRESED IN GOPALA GOPALA                                             THIS IS A DELIGHTFUL NEWS FOR POWER STAR PAWAN KALYAN&#39;S FANS, WHO WERE EARLIER DISAPPOINTEDHEARING PAWAN KALYAN&#39;S WOULD BE SEEN JUST FOR 20 MINUTES IN THE MOVIE . ACCORDING THE REPORTS PAWAN KALYAN&#39;S &#39;S ROLE HAS...﻿"
