"","analysis_score","analysis_text"
"64",0,"RT @LavaMobile: Which Lava smartphone was launched in May 2014 with a big bang? #MyLava contest"
"65",0,"Lief Zierz, Global Head (T&amp;R), #KPMG &amp; Vikram Hosangady, Partner, @KPMGIndia in conversation with @EconomicTimes : http://t.co/gkJgQzlCus"
"66",0,"@Cinenewsworld 

Pls tell us your next movie after idhu enna maayam (vikram prabhu)"
"67",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"68",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"69",0,"RT @utvfilms: Also big congrats to our very own 'Vikram Singh Rathore' @_fawadakhan_ for his nomination in #BestDebut (Male) at the #Filmfaâ¦"
"70",0,"RT @DaburHoney_Ind: 4 questions are already out! You can find all the answers at http://t.co/tnT4tUXSFF

RT &amp; participate now #Jealubbies"
"71",2,"@vikramchandra great news ! Kudos to you as well Vikram"
"72",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"73",0,"@RCHanoi yes, each of us at yoga brains watched and reviewed it and later met and hung out with vikram! great piece on guru social psych.."
"74",1,"RT @suza888: Today is all about ""I"" ! Can't wait til evening ! #Ai to witness the magical moments #Vikram í ½í¸âºï¸â¤ï¸í ½í¸"
"75",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"76",0,"RT @RDBalaji: #I Overseas Countrywise Box Office Collection: Very Good
@AiMovie #Chiyaan #Vikram #Imovie
http://t.co/cZ5QtpcyXu http://t.coâ¦"
"77",1,"#100cClub Still a dream for Many #Vikram #Shankar #I welcome vikram jii http://t.co/gC4Dsh7zpm"
"78",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"79",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"80",1,"@shankarshanmugh sir plz think about aparichit part 2 on same looks of vikram ...it will be super duper hit,vikram should look aparichit.plz"
"81",0,"RT @nishukickK: ThE twO BiG #V oF #TN conQuerd d  plaCe oF twO biGGie #M (Mohanlal &amp; Mammoty) oF Kerala!
#vijay #Jilla #Vikram #I http://t.â¦"
"82",2,"@shankarshanmugh sir plz make aparachit part 2,on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz"
"83",0,"RT @DaburHoney_Ind: We are trending in India!!
Thank you and a big shout-out to all of you who are participating :) #Jealubbies"
"84",0,"RT @sri1215: Andhra Pradesh Gives Vikram's 'I' A Thumbs Up!"
"85",2,"@shankarshanmugh sir plz make aparachit part 2..on the same looks of vikram in aparichit...we all assure tht it will be double super hit;plz"
"86",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"87",0,"RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9â¦"
"88",2,"@shankarshanmugh sir plz make aparachit part 2.,on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz"
"89",2,"@shankarshanmugh sir plz make aparachit part 2.on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz"
"90",2,"@shankarshanmugh sir plz make aparachit part 2..on the same looks of vikram in aparichit...we all assure tht it will be double super hit.plz"
"91",0,"RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb"
"92",2,"@shankarshanmugh sir plz make aparachit part 2..on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz"
"93",0,"RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb"
"94",0,"from the covering candidate of @rameshbidhuri 2013 to the BJP candidate 2015, Congratulations @vikram2691 (Vikram Bidhuri)
Good Luck"
"95",0,"RT @DaburHoney_Ind: http://t.co/HAbNFrYS3y one movie which can help you in dealing with your hubby #Jealubbies"
"96",0,"RT @HeyANDHRA4u: #I eyes on #PK records:

Shankar Vikram's #I (Chinese Version) will be releasing in 15000 theatres in China on... http://tâ¦"
"97",0,"RT @igtamil: Lingesan 'Lee' #Vikram and Diya #AmyJackson get candid!

#IMovie #Shankar #Chiyaan #AiMovie #ARRahman http://t.co/ZcFsXY7w4o"
"98",0,"RT @subhojyoti146: Watched #I! One Word: Excellent! And Vikram _/\_"
"99",0,"four cooks flown to bahrin last night.
vikram, jai prakash, sanjay and suresh.
kuldeep could not go since ho got... http://t.co/PsYd9Kdd57"
"100",0,"@igtamil '#I' enters the 100 crores club - A first for #Chiyaan #Vikram #AmyJackson Congrats for entire casts &amp; crews Director Shankar Sir!"
"101",0,"RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9â¦"
"102",0,"#Vikram 's #I hits the bull's
eye; crosses Rs 100 crore
in its opening weekend
worldwide!"
"103",0,"RT @utvfilms: Also big congrats to our very own 'Vikram Singh Rathore' @_fawadakhan_ for his nomination in #BestDebut (Male) at the #Filmfaâ¦"
"104",0,"ThE twO BiG #V oF #TN conQuerd d  plaCe oF twO biGGie #M (Mohanlal &amp; Mammoty) oF Kerala!
#vijay #Jilla #Vikram #I http://t.co/8tELast1vG"
"105",0,"RT @igtamil: Lingesan 'Lee' #Vikram and Diya #AmyJackson get candid!

#IMovie #Shankar #Chiyaan #AiMovie #ARRahman http://t.co/ZcFsXY7w4o"
"106",0,"#DoNote #RamseyBrothers &amp; Vikram Bhatt. RT @UberFacts: In Italy, there are about 500,000 exorcisms a year."
"107",2,"RT @iamanandkr: What a visual feast , amazing film I"" by @shankarshanmugh , Vikram was outstanding n @iamAmyJackson in a dream role! http:/â¦"
"108",0,"Beautiful #Ladio and #Chiyaan #Vikram
at Hyderabad for #I movie press meet  @iamAmyJackson http://t.co/41wIamRU2c"
"109",1,"RT @DaburHoney_Ind: 4th question coming up in next tweet!! 
RT if you are ready #Jealubbies"
"110",1,"@Smile_always21 Hahaha. If you say so í ½í¸ when you' become older you're gonna become like ""I"" vikram after eating lotsa chocolates. í ½í¸í ½í¸"
"111",0,"#Selfie Time with ""#Imovie"" Team by PRO Nikkil Murugan | Watch here : http://t.co/bVG8oNLKUJ | #Chiyaan #Vikram |... http://t.co/ogCecCQhGm"
"112",0,"RT @sri1215: Andhra Pradesh Gives Vikram's 'I' A Thumbs Up!"
"113",1,"Had nice time at ""Discovering Twitter""  
thanks to @gundabattini @vikram_sraj @ang_dsouza"
"114",0,"Lingesan 'Lee' #Vikram and Diya #AmyJackson get candid!

#IMovie #Shankar #Chiyaan #AiMovie #ARRahman http://t.co/ZcFsXY7w4o"
"115",1,"RT @DaburHoney_Ind: Three questions out and 7 more to go!! 
RT if you are ready for the next question #Jealubbies #contest"
"116",1,"@vikramchandra Great job Vikram n NDTV! A  big thanks to Shree Amitabh Bacchan also for his contribution to this."
"117",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"118",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"119",0,"#Selfie Time with ""#Imovie"" Team by @onlynikil  Watch here : http://t.co/fAykJGuEoi | #Chiyaan #Vikram @shankarshanmugh @Aascars @pcsreeram"
"120",0,"#Selfie Time with ""#Imovie"" Team by @onlynikil  Watch here : http://t.co/FD14P35DsX | #Chiyaan #Vikram @shankarshanmugh @Aascars @pcsreeram"
"121",0,"@ASUSIndia #EeeBook #GoSleeek 2.12 hours on full charge"
"122",0,"RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb"
"123",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"124",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"125",0,"RT @ASUSIndia: Wow! Here's Q.2: The battery life of the #EeeBook, lasts upto _____? #GoSleeek.

Invite friends &amp; get them to participate inâ¦"
"126",0,"RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb"
"127",-1,"Suprised by the India's scoreline in #ENGvIND at #Brisbane 

This, after the ENG tour and in AUS  is unfortunate."
"128",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"129",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"130",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"131",0,"RT @RDBalaji: #I Overseas Countrywise Box Office Collection: Very Good
@AiMovie #Chiyaan #Vikram #Imovie
http://t.co/cZ5QtpcyXu http://t.coâ¦"
"132",0,"'#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDMBq8zHa"
"133",1,"Have to wonder what sort of moron would build a 5 â­ï¸ hotel with a view like this í ½í¸§í ½í¸§í ½í¸§#dumbass http://t.co/aIofbBdvlN"
"134",0,"RT @subhojyoti146: Watched #I! One Word: Excellent! And Vikram _/\_"
"135",0,"@DaburHoney_Ind #Jealubbies 3. Jealhubbies the wives of Jealubbies"
"136",0,"Vikram's 'I' hits the bull's eye http://t.co/d9N5rcGpTm via @"
"137",0,"RT @vijayrambomaxim: #Vikram has apparently denoted 50% of his salary from the #I movie to the school of mentally challenged kids which is â¦"
"138",0,"@aro_1993 even vikram entered 100 crs club... what about your thala"
"139",0,"RT @DaburHoney_Ind: Q3. #Jealubbies is issued in whose interest by @DaburHoney_Ind?"
"140",0,"RT @RDBalaji: #Chiyaan #Vikram's #I #Imovie Worldwide Collection
India - 107 Crs
Overseas - 33 Crs
Total - 140 Crs  Awesome http://t.co/1Hlâ¦"
"141",0,"wow..I..visual wonder..anthaku minchi
vikram..man of shades..anthaku minchi
shankar..wonder creator..anthaku minchi http://t.co/hAf0kSqv0l"
"142",0,"RT @sri1215: Andhra Pradesh Gives Vikram's 'I' A Thumbs Up!"
"143",-1,"RT @subhojyoti146: @ManishSharma129 It's a Regional Film! The Dubbed version's collections isnt bad at all! :) North Indians Hardly know abâ¦"
"144",0,"RT @Cinenewsworld: #I #Vikram Enters the 100 Crores Club In India !!! http://t.co/DpVQYrJlil"
"145",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"146",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"147",0,"Chiyaan Vikram and Amy Jackson in #I movie promotions"
"148",0,"@aro_1993 unga thala vida thalaivar ku 1000 times fans adhigam..respect vikram..dont create fight idiots"
"149",0,"RT @HeyANDHRA4u: #I eyes on #PK records:

Shankar Vikram's #I (Chinese Version) will be releasing in 15000 theatres in China on... http://tâ¦"
"150",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"151",0,"#I #Vikram Enters the 100 Crores Club In India !!! http://t.co/DpVQYrJlil"
"152",1,"RT @ImPramodP: @AiMovie Spectacular! A Visual Delight! Super Talented #Vikram, Beautiful @iamAmyJackson &amp; on d top Magic of @arrahman, Highâ¦"
"153",0,"RT @orangetelugu: I (Manoharudu) Movie Songs Making | Shankar | Vikram | Amy Jackson | AR Rahman http://t.co/NaB65OWuor"
"154",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"155",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"156",0,"RT @DaburHoney_Ind: You can answer as many times as you want. We'll reveal all the answers at the end of the #contest! 
Keep tweeting with â¦"
"157",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"158",0,"RT @AiMovie: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/XQcQih4n57 http://t.co/5lâ¦"
"159",0,"RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9â¦"
"160",0,"@raggedtag Wowwwy girl. I must say that you have a lot to.......SAY í ½í±»í ½í±»í ½í±»"
"161",0,"RT @RDBalaji: #Chiyaan #Vikram's #I #Imovie Worldwide Collection
India - 107 Crs
Overseas - 33 Crs
Total - 140 Crs  Awesome http://t.co/1Hlâ¦"
"162",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"163",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"164",0,"'I' enters the 100 crores club - A first for Chiyaan Vikram ... http://t.co/y02f6iZN64"
"165",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"166",1,"RT @DaburHoney_Ind: Two questions out and what a superb response!! Keep your tweets and answers coming in, folks! #Jealubbies"
"167",0,"The known devil is better than an unknown saint. This couldn't be true(r) than in #DelhiPolls today."
"168",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"169",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"170",0,"@impoornapatel does that make me half gay PP í ½í¸°í ½í¸°í ½í¸°"
"171",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"172",0,"RT @YuvaiTV: #BJP4Delhi Shri Vikram Vidhuri to contest from Tughlakabad and Shri Rambir Vidhuri from Badarpur constituency."
"173",2,"RT @iam_arven: Vikram's Anniyan make me like him and now ""I"" make me love him as a fan ;)

#VikramSir (Y)"
"174",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"175",0,"@DaburHoney_Ind #Jealubbies 2. Jealubbies"
"176",1,"RT @karuappi: @chiyaanvikram Vikram Sir.. I Am fan from Karnataka.. Watched ur film. Simply Superb ur acting... Keep Gng... All the best...."
"177",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"178",-1,"RT @ImMathiew: #I This is #Vikram's first movie to enter the 100
crores club for Indian gross as well as
worldwide gross. @Chiyaanvikram @aâ¦"
"179",0,"RT @telugufilmnagar: And here are Lee_Diya's Latest ones @ #I PressMeet http://t.co/cpskHdeXQV

#Vikram @iamAmyJackson #Shankar http://t.coâ¦"
"180",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"181",2,"RT @ashishdondapati: watched ""aai"" an excellent masterpiece of #vikram and #Shankar.brilliant acting from  chiyan vikram"
"182",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"183",0,"#100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/RsOAsmOGtn
#i #Shankar #iman"""
"184",-1,"RT @DaburHoney_Ind: Q2. What is the name given to the typical case of jealous husbands when they are attacked by #Jealubbies? #contest"
"185",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"186",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"187",0,"RT @pinkvilla: http://t.co/ZoynU5puS8 - 'I' hits the bull's eye, collects over Rs.100 crore @iamAmyJackson #Vikram #UpenPatel #I"
"188",0,"RT @AiMovie: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/XQcQih4n57 http://t.co/5lâ¦"
"189",0,"RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9â¦"
"190",1,"@LavaMobile super #MyLava hamper. hoping it goes well with my phone too"
"191",1,"RT @vuinmedia: @chiyaanvikram's #Imovie joins Kollywood's elite 100 crore club

http://t.co/2ojNXd23ff

@Aascars #Vikram @CHIYAANism http:/â¦"
